Geneid,EC1,EC1yuan,EC2,EC2yuan,EC3,EC3yuan
ENSG00000277311,12,3,9,1,23,4
ENSG00000276229,0,0,0,0,0,0
ENSG00000277809,0,0,0,0,0,0
ENSG00000276048,5,1,17,1,16,0
ENSG00000274547,0,0,0,0,0,0
ENSG00000276670,0,0,0,0,0,0
ENSG00000236502,1,0,0,0,4,1
ENSG00000138083,7,2,3,0,4,0
ENSG00000225156,1,0,2,2,1,0
ENSG00000231848,1,1,1,3,3,1
ENSG00000170577,0,0,0,0,0,0
ENSG00000231156,0,0,0,0,0,0
ENSG00000205054,0,0,0,1,0,0
ENSG00000231054,0,0,0,0,0,0
ENSG00000286728,0,0,0,0,0,0
ENSG00000286519,0,0,0,0,0,0
ENSG00000068784,409,305,409,334,408,323
ENSG00000239396,0,0,0,0,0,0
ENSG00000171132,634,614,583,670,649,614
ENSG00000228481,0,0,2,0,0,0
ENSG00000233829,0,0,0,1,0,0
ENSG00000232696,0,1,0,9,0,3
ENSG00000231336,5,1,2,0,0,2
ENSG00000233335,0,0,0,0,0,0
ENSG00000278764,0,0,0,0,0,0
ENSG00000116016,17047,3897,16191,4017,17040,3803
ENSG00000228100,0,1,0,0,1,0
ENSG00000187600,1,0,0,0,0,0
ENSG00000284608,0,0,0,0,0,0
ENSG00000253515,1,0,1,0,1,0
ENSG00000241791,0,0,0,0,0,0
ENSG00000284701,1,0,0,0,0,0
ENSG00000250565,174,207,183,197,158,189
ENSG00000119729,3030,944,2674,1105,2813,1028
ENSG00000250116,54,18,84,28,53,12
ENSG00000151665,508,242,471,294,525,274
ENSG00000119878,501,301,444,388,539,367
ENSG00000279254,21,0,44,0,24,0
ENSG00000222005,9,9,10,4,9,2
ENSG00000171150,977,580,789,683,913,691
ENSG00000239332,17,11,11,13,11,14
ENSG00000226548,0,2,1,0,1,1
ENSG00000228925,13,21,19,22,33,16
ENSG00000180398,3605,3327,3183,3749,3583,3622
ENSG00000068724,918,1301,849,1249,989,1192
ENSG00000272814,0,2,0,0,0,0
ENSG00000233845,2,1,2,4,1,2
ENSG00000239605,5,1,0,1,1,4
ENSG00000273269,0,0,0,0,0,0
ENSG00000225187,0,2,0,0,0,4
ENSG00000143933,6486,8692,5740,10648,6147,9147
ENSG00000234690,6,0,4,0,1,1
ENSG00000226087,0,0,0,0,0,0
ENSG00000236824,9,9,2,7,8,4
ENSG00000119888,244,48,223,69,202,79
ENSG00000222685,0,0,1,0,0,0
ENSG00000207923,0,0,0,0,0,0
ENSG00000277396,0,0,0,0,0,0
ENSG00000095002,1356,2341,1250,2650,1328,2594
ENSG00000184261,9,6,8,2,4,2
ENSG00000235760,1,1,3,1,2,0
ENSG00000230979,97,75,91,56,89,44
ENSG00000116062,2074,2741,2000,2947,2111,2800
ENSG00000224443,0,0,0,0,0,0
ENSG00000224058,0,0,0,0,0,0
ENSG00000283502,0,0,0,0,0,0
ENSG00000138081,1474,1163,1267,1311,1411,1283
ENSG00000235369,13,7,3,4,7,8
ENSG00000236549,10,0,0,2,1,3
ENSG00000233230,17,1,12,5,23,8
ENSG00000230773,3,1,0,3,6,4
ENSG00000226473,0,0,0,0,0,0
ENSG00000275423,0,0,0,0,0,0
ENSG00000201010,0,0,0,0,0,0
ENSG00000170802,667,684,569,898,652,855
ENSG00000251889,0,0,0,0,2,0
ENSG00000272663,3,2,5,1,1,3
ENSG00000162869,719,409,622,513,737,435
ENSG00000202227,5,2,1,0,3,0
ENSG00000243244,389,47,321,75,413,53
ENSG00000068781,0,0,1,0,3,0
ENSG00000242441,0,0,1,0,0,0
ENSG00000279956,1,0,0,0,0,0
ENSG00000239995,0,0,0,0,0,0
ENSG00000138039,2,0,0,0,0,0
ENSG00000232285,0,0,0,0,0,0
ENSG00000282890,0,0,0,0,0,0
ENSG00000214602,0,0,0,0,0,0
ENSG00000170820,0,0,0,0,0,0
ENSG00000212036,0,0,0,0,0,0
ENSG00000282998,0,0,0,0,0,0
ENSG00000206915,0,0,0,0,0,0
ENSG00000282828,0,0,0,0,0,0
ENSG00000234253,0,0,0,0,0,0
ENSG00000212580,0,0,0,0,0,0
ENSG00000179915,2,1,6,0,4,0
ENSG00000285548,0,0,0,0,0,0
ENSG00000230327,0,0,0,0,0,0
ENSG00000283058,0,0,0,0,0,0
ENSG00000216191,0,0,0,0,0,0
ENSG00000238165,168,262,229,257,273,224
ENSG00000286412,0,0,0,0,0,0
ENSG00000231918,0,0,0,0,0,0
ENSG00000287867,0,0,0,0,1,0
ENSG00000224344,0,0,0,0,0,0
ENSG00000223710,0,0,0,0,0,0
ENSG00000230840,0,0,0,0,0,0
ENSG00000226366,0,0,0,0,0,0
ENSG00000287344,0,0,0,0,0,0
ENSG00000236538,0,0,0,0,0,0
ENSG00000202195,0,0,0,0,0,0
ENSG00000225444,0,0,0,0,0,0
ENSG00000225842,0,0,0,0,0,0
ENSG00000236837,0,0,0,0,0,0
ENSG00000204993,0,2,0,0,0,0
ENSG00000233083,0,0,0,0,0,0
ENSG00000264975,0,0,0,0,0,0
ENSG00000228033,2,0,0,0,0,0
ENSG00000232604,0,0,0,0,0,0
ENSG00000232668,0,0,0,0,0,0
ENSG00000251942,0,0,0,0,0,0
ENSG00000223897,0,0,0,0,0,0
ENSG00000115239,402,347,342,435,389,415
ENSG00000207456,0,0,0,0,0,0
ENSG00000143942,53,244,66,283,64,241
ENSG00000068912,1639,1112,1469,1258,1484,1210
ENSG00000265452,3,15,4,9,12,7
ENSG00000119737,54,86,41,81,42,79
ENSG00000068878,1844,2261,1600,2832,1846,2579
ENSG00000170634,164,66,161,64,141,48
ENSG00000235937,3,2,0,0,0,0
ENSG00000233266,12,1,6,1,12,2
ENSG00000241114,0,0,0,0,0,0
ENSG00000272156,19,7,21,3,29,4
ENSG00000252934,0,0,0,0,0,0
ENSG00000178021,1,0,0,0,2,0
ENSG00000177994,3,0,2,0,3,1
ENSG00000115306,14428,10802,13472,10965,14956,10766
ENSG00000228108,0,0,2,1,0,0
ENSG00000237887,1,0,0,2,1,1
ENSG00000234943,0,0,0,0,0,0
ENSG00000238018,80,21,59,34,56,39
ENSG00000214595,803,261,747,246,838,265
ENSG00000231334,0,0,2,0,1,1
ENSG00000285519,0,0,1,0,2,0
ENSG00000252507,0,0,0,0,1,0
ENSG00000115310,9561,14257,8886,14044,9859,12895
ENSG00000200086,0,3,0,2,0,0
ENSG00000162994,165,80,155,64,196,74
ENSG00000203327,14,2,9,4,13,0
ENSG00000227799,52,19,35,18,52,10
ENSG00000143947,1648,1321,1586,1655,1542,1447
ENSG00000085760,1149,1078,1070,1311,1072,1158
ENSG00000162997,68,16,62,35,75,31
ENSG00000240401,5,6,12,8,12,4
ENSG00000206964,4,0,3,6,3,1
ENSG00000115355,2573,2570,2211,3343,2706,3332
ENSG00000233594,80,107,102,99,93,100
ENSG00000238619,0,0,0,0,0,0
ENSG00000238493,0,0,0,0,0,0
ENSG00000239189,0,0,0,0,0,0
ENSG00000163001,1322,570,1173,638,1143,584
ENSG00000275052,2647,1893,2300,2397,2537,2380
ENSG00000212175,18,2,12,9,13,9
ENSG00000272606,0,0,0,0,0,0
ENSG00000138035,925,1663,836,2036,923,1746
ENSG00000115380,20,0,5,1,11,0
ENSG00000202344,0,0,0,0,0,0
ENSG00000272180,2,0,2,0,1,1
ENSG00000226702,0,0,0,0,0,0
ENSG00000207548,0,0,0,0,0,0
ENSG00000207798,0,0,0,0,0,0
ENSG00000211520,0,0,0,0,0,0
ENSG00000229805,0,0,0,0,0,0
ENSG00000271894,0,0,0,0,0,0
ENSG00000233251,14,3,18,0,16,2
ENSG00000055813,45,1,39,6,55,2
ENSG00000199395,0,0,0,0,0,0
ENSG00000231570,0,0,0,0,0,0
ENSG00000271115,0,0,0,0,0,0
ENSG00000285755,1,0,0,1,0,1
ENSG00000270569,0,0,0,0,0,0
ENSG00000212168,0,0,0,0,0,0
ENSG00000271615,0,0,0,0,0,2
ENSG00000028116,550,540,443,668,454,616
ENSG00000287875,2,5,4,7,5,0
ENSG00000115392,465,485,491,573,537,505
ENSG00000273063,0,1,0,2,1,0
ENSG00000233426,1021,633,1062,728,1055,615
ENSG00000225226,0,0,0,0,1,0
ENSG00000233723,1,0,0,0,3,0
ENSG00000231043,118,156,127,150,155,150
ENSG00000285673,0,0,0,0,0,0
ENSG00000222030,0,0,0,0,0,0
ENSG00000271955,0,0,0,0,0,0
ENSG00000233891,0,0,0,0,0,0
ENSG00000231815,0,0,0,0,0,0
ENSG00000270447,0,0,0,0,0,0
ENSG00000200101,0,0,0,0,0,0
ENSG00000252726,0,0,0,0,0,0
ENSG00000286604,0,0,0,0,0,0
ENSG00000285611,0,0,0,0,0,0
ENSG00000228590,0,0,0,0,0,0
ENSG00000287640,0,0,0,0,0,0
ENSG00000200807,0,0,0,0,0,0
ENSG00000266078,0,0,0,0,0,0
ENSG00000119866,246,61,229,58,216,60
ENSG00000233953,0,1,0,0,1,0
ENSG00000242158,0,0,0,0,0,0
ENSG00000271134,0,0,0,0,0,0
ENSG00000213495,0,0,0,0,0,0
ENSG00000252718,0,0,0,0,0,0
ENSG00000271707,3,3,5,3,1,3
ENSG00000115421,832,565,777,562,794,566
ENSG00000228414,0,2,0,0,1,1
ENSG00000241524,0,0,0,0,0,0
ENSG00000237024,1,1,0,0,0,0
ENSG00000162924,592,384,415,516,544,481
ENSG00000201076,0,0,0,0,1,0
ENSG00000267520,0,0,0,0,0,0
ENSG00000237522,51,48,31,39,57,33
ENSG00000232713,40,16,23,20,25,37
ENSG00000162927,276,152,261,186,264,160
ENSG00000222251,1,0,0,0,0,0
ENSG00000162928,971,614,986,770,1012,787
ENSG00000162929,846,543,764,634,815,579
ENSG00000274769,12,2,6,0,13,3
ENSG00000212978,458,141,354,169,373,176
ENSG00000237651,31,14,34,8,40,4
ENSG00000271889,8,2,4,3,9,0
ENSG00000173209,3061,1534,3274,1511,3818,1299
ENSG00000115464,4168,3233,3324,3695,3909,3845
ENSG00000273302,9,9,15,8,9,6
ENSG00000271146,0,0,2,2,0,0
ENSG00000234624,0,1,0,1,0,0
ENSG00000206937,0,1,0,0,0,0
ENSG00000270820,25,13,17,22,14,12
ENSG00000082898,7890,8540,7074,10526,7585,10104
ENSG00000285857,7,3,8,4,8,3
ENSG00000271243,0,0,0,0,0,0
ENSG00000226884,0,0,0,0,0,0
ENSG00000206973,0,0,0,0,0,0
ENSG00000213486,0,0,2,0,0,0
ENSG00000227361,0,0,0,1,0,0
ENSG00000229831,0,0,0,0,0,0
ENSG00000170264,521,237,450,263,515,250
ENSG00000230702,0,2,0,2,0,1
ENSG00000277498,0,1,1,8,1,4
ENSG00000115484,5614,9102,5056,10408,5494,9523
ENSG00000236498,7,7,16,11,8,11
ENSG00000286360,18,21,24,21,24,19
ENSG00000173163,198,431,247,411,246,340
ENSG00000278523,0,1,0,2,0,0
ENSG00000229839,7,5,7,4,6,0
ENSG00000242735,0,0,0,0,0,0
ENSG00000271657,2,1,0,1,1,0
ENSG00000170340,1051,884,937,924,958,869
ENSG00000266097,3,1,2,0,1,1
ENSG00000239958,0,0,0,0,0,0
ENSG00000270335,0,0,0,0,0,0
ENSG00000228541,3,0,1,0,0,0
ENSG00000241625,0,0,0,0,0,0
ENSG00000186889,73,22,89,45,87,28
ENSG00000233702,0,0,0,0,0,0
ENSG00000229503,1,4,1,0,1,0
ENSG00000226622,0,0,0,1,0,0
ENSG00000232144,0,0,0,0,0,0
ENSG00000230595,6,10,3,5,5,5
ENSG00000115504,2331,1083,1903,1224,2211,1270
ENSG00000252436,0,1,0,0,0,0
ENSG00000286524,0,0,0,4,0,1
ENSG00000226605,0,0,0,0,0,0
ENSG00000237162,3,1,0,0,0,0
ENSG00000231609,41,27,43,25,44,19
ENSG00000115507,255,221,215,243,266,163
ENSG00000270437,0,0,0,0,0,0
ENSG00000286480,2,0,1,0,5,0
ENSG00000232403,0,0,0,0,0,0
ENSG00000242412,3,0,0,0,0,0
ENSG00000143951,162,54,153,87,156,81
ENSG00000283636,1,0,0,0,0,0
ENSG00000233716,0,1,0,0,0,0
ENSG00000279485,0,0,1,0,0,0
ENSG00000014641,2326,2346,2158,2835,2119,2587
ENSG00000228305,416,1191,447,1139,427,998
ENSG00000229920,0,2,0,3,2,0
ENSG00000234488,4,3,6,1,1,5
ENSG00000228872,0,0,0,0,1,0
ENSG00000229221,0,0,0,0,0,0
ENSG00000169764,1705,1222,1601,1507,1663,1360
ENSG00000251775,3,0,1,0,2,0
ENSG00000143952,773,734,724,912,753,829
ENSG00000228079,0,0,0,3,0,0
ENSG00000197329,616,802,529,899,639,859
ENSG00000225889,8,7,11,5,10,6
ENSG00000230923,0,0,0,0,0,0
ENSG00000270354,0,0,0,0,0,0
ENSG00000238012,0,0,0,0,0,0
ENSG00000238201,0,0,0,0,0,0
ENSG00000264297,0,0,0,0,0,0
ENSG00000283222,0,0,0,0,0,0
ENSG00000236148,0,0,1,0,0,1
ENSG00000223935,8,0,6,0,8,1
ENSG00000237217,1,0,2,0,0,0
ENSG00000119862,652,347,587,413,629,367
ENSG00000223863,0,0,0,0,0,0
ENSG00000260101,1,3,6,0,5,0
ENSG00000119844,944,619,840,699,827,752
ENSG00000283204,0,1,0,1,0,0
ENSG00000252414,2,2,1,6,1,5
ENSG00000233694,0,1,0,0,0,0
ENSG00000179833,1810,909,1698,974,1838,943
ENSG00000226756,3,2,2,0,5,7
ENSG00000227791,0,0,0,0,0,0
ENSG00000275588,0,0,0,0,0,0
ENSG00000199964,0,0,0,0,0,0
ENSG00000287123,0,0,0,0,0,0
ENSG00000234572,0,0,0,0,1,0
ENSG00000237638,51,37,56,42,54,43
ENSG00000244534,0,0,0,0,0,0
ENSG00000227394,5,2,3,0,1,0
ENSG00000115902,586,467,560,544,633,491
ENSG00000252892,1,0,2,1,0,2
ENSG00000232613,1,1,2,0,3,0
ENSG00000011523,522,309,487,316,573,277
ENSG00000138069,2057,2055,1901,2200,1989,1969
ENSG00000272025,0,0,0,0,0,0
ENSG00000273763,15,21,14,23,10,15
ENSG00000172974,1833,1883,1890,2151,1767,2027
ENSG00000138071,5309,7226,4825,8764,5472,8210
ENSG00000198369,1138,1702,1087,1707,1273,1535
ENSG00000232693,3,0,1,2,0,0
ENSG00000204929,1,1,1,0,3,0
ENSG00000234255,1,0,3,0,0,0
ENSG00000237979,1,0,4,1,0,0
ENSG00000223739,0,0,0,0,0,0
ENSG00000243029,0,0,0,0,0,0
ENSG00000251900,0,0,0,0,0,0
ENSG00000235725,0,1,4,0,0,0
ENSG00000281920,0,0,0,2,1,0
ENSG00000214533,2,2,0,1,0,3
ENSG00000280257,0,1,0,0,0,0
ENSG00000227293,0,0,0,0,0,0
ENSG00000225815,1,0,1,0,0,0
ENSG00000264525,0,0,0,0,0,0
ENSG00000232164,1,1,1,0,0,0
ENSG00000226819,14,3,8,0,10,1
ENSG00000143995,81,40,76,58,76,50
ENSG00000230749,0,0,0,0,1,0
ENSG00000232046,2,0,1,0,0,0
ENSG00000237179,0,0,0,0,0,0
ENSG00000224071,0,0,0,0,0,0
ENSG00000230355,0,0,0,0,0,0
ENSG00000230525,0,0,0,0,0,0
ENSG00000232688,0,0,0,0,0,0
ENSG00000223859,0,0,0,0,0,0
ENSG00000235885,0,0,0,0,2,0
ENSG00000236780,15,4,12,6,21,6
ENSG00000236605,0,0,0,0,0,0
ENSG00000143971,575,262,508,289,524,262
ENSG00000224173,0,0,0,0,0,0
ENSG00000235495,0,0,0,0,0,0
ENSG00000286002,0,0,0,0,0,0
ENSG00000237013,0,0,0,0,0,0
ENSG00000235968,0,0,0,0,0,0
ENSG00000197223,106,114,134,166,149,173
ENSG00000284932,0,0,0,0,0,0
ENSG00000243667,126,129,133,126,134,134
ENSG00000236259,0,0,1,0,1,0
ENSG00000273398,1,0,0,0,0,0
ENSG00000115946,319,712,295,895,279,804
ENSG00000221823,938,1062,873,1166,888,1100
ENSG00000273275,0,0,0,0,0,0
ENSG00000273064,8,2,3,2,8,0
ENSG00000119865,19,5,8,6,14,10
ENSG00000203395,0,0,0,0,0,0
ENSG00000115956,1,0,0,0,0,0
ENSG00000229462,0,0,0,0,0,0
ENSG00000204923,144,71,127,83,149,86
ENSG00000169621,101,39,100,54,113,64
ENSG00000214525,0,0,0,1,2,2
ENSG00000169618,0,0,0,0,0,0
ENSG00000163219,0,0,0,0,0,0
ENSG00000228329,0,0,0,0,0,0
ENSG00000237576,0,0,0,0,0,0
ENSG00000163217,0,0,0,0,0,0
ENSG00000283586,0,0,0,0,0,0
ENSG00000183607,0,0,0,0,0,0
ENSG00000169605,0,0,0,1,0,0
ENSG00000169604,2386,1355,1933,1494,2293,1381
ENSG00000286347,0,0,0,0,1,0
ENSG00000266649,0,0,0,0,0,1
ENSG00000251850,0,0,0,0,0,0
ENSG00000199460,1,0,0,0,0,0
ENSG00000271597,0,0,0,1,0,0
ENSG00000198380,1796,1305,1596,1523,1646,1406
ENSG00000252250,0,0,0,0,0,1
ENSG00000169599,419,402,401,463,455,333
ENSG00000115977,1165,1175,964,1156,1171,1287
ENSG00000244236,0,1,0,0,0,0
ENSG00000207016,0,0,0,0,0,0
ENSG00000232228,0,0,0,0,1,0
ENSG00000229948,3,1,0,0,0,0
ENSG00000196975,4289,1185,3900,1242,4415,1211
ENSG00000231024,2,0,4,1,3,0
ENSG00000087338,845,490,763,535,846,463
ENSG00000275381,4,0,3,3,2,1
ENSG00000270723,2,0,0,1,3,3
ENSG00000124380,397,285,324,377,347,385
ENSG00000059728,139,39,133,66,116,50
ENSG00000244617,12,7,9,2,18,2
ENSG00000179818,396,186,346,186,461,160
ENSG00000263669,0,0,0,0,0,0
ENSG00000169564,555,792,458,903,527,901
ENSG00000233060,0,0,0,0,0,0
ENSG00000225392,0,0,0,2,0,1
ENSG00000231327,2,9,4,10,2,11
ENSG00000115998,173,134,168,144,189,129
ENSG00000116001,2747,1127,2437,1396,2674,1305
ENSG00000221238,0,0,0,0,0,0
ENSG00000231414,11,15,23,17,12,6
ENSG00000116005,2801,1634,2575,1863,2882,1838
ENSG00000143977,315,682,289,679,285,660
ENSG00000035141,1110,2075,970,2220,1063,1983
ENSG00000233849,0,0,0,0,0,0
ENSG00000235289,0,0,0,0,0,0
ENSG00000229229,0,0,0,0,0,0
ENSG00000163235,6445,1767,6027,1989,6081,1936
ENSG00000224606,1,0,0,0,2,0
ENSG00000075340,0,0,2,0,0,0
ENSG00000286979,0,0,0,0,0,0
ENSG00000235035,0,0,0,0,0,0
ENSG00000183733,0,0,0,0,0,0
ENSG00000228034,0,0,0,0,0,0
ENSG00000152672,2,1,0,0,8,0
ENSG00000231386,0,0,0,0,1,0
ENSG00000116031,2,2,2,1,4,1
ENSG00000237751,0,0,0,0,0,0
ENSG00000277764,1,0,1,0,1,0
ENSG00000116035,7,18,16,9,21,3
ENSG00000116039,7,1,9,1,3,1
ENSG00000258881,28,8,27,9,32,6
ENSG00000239322,0,1,1,1,3,3
ENSG00000226186,0,0,0,0,2,0
ENSG00000241159,0,0,0,0,0,0
ENSG00000144031,8,1,3,1,10,2
ENSG00000144043,1465,2833,1373,2854,1424,2751
ENSG00000228384,3,6,1,10,5,4
ENSG00000236469,0,0,0,0,0,0
ENSG00000205847,0,0,0,0,0,0
ENSG00000234485,0,0,0,0,0,0
ENSG00000234896,0,0,0,0,0,0
ENSG00000124357,961,801,985,777,1058,720
ENSG00000272735,0,2,3,0,0,1
ENSG00000124370,113,58,100,44,93,43
ENSG00000288065,21,10,28,10,18,5
ENSG00000124383,522,641,421,786,464,731
ENSG00000233870,1,0,0,1,0,0
ENSG00000124374,304,51,273,73,269,69
ENSG00000075292,2758,1938,2471,2177,2612,2150
ENSG00000281195,26,7,23,15,37,16
ENSG00000200779,0,0,0,0,0,0
ENSG00000135636,265,821,254,813,232,634
ENSG00000233971,8,5,4,2,10,3
ENSG00000003137,1573,1506,1574,1311,1806,1243
ENSG00000144036,976,555,883,632,1125,625
ENSG00000228568,0,0,0,0,0,2
ENSG00000222536,0,0,0,0,0,1
ENSG00000212378,0,0,0,0,0,0
ENSG00000116096,817,1741,909,1682,994,1531
ENSG00000135638,105,1,99,5,127,11
ENSG00000278060,3,0,2,0,1,0
ENSG00000144040,241,367,272,402,327,332
ENSG00000135631,1961,1967,2029,1907,2122,1852
ENSG00000272702,26,10,27,9,24,12
ENSG00000214513,0,2,0,0,0,1
ENSG00000135632,925,1352,958,1253,856,1208
ENSG00000135617,139,280,142,279,151,284
ENSG00000135624,4892,11399,4995,11741,5262,10271
ENSG00000163013,1824,947,1594,895,2111,907
ENSG00000135625,117,59,128,43,86,66
ENSG00000252988,0,0,0,0,0,0
ENSG00000287435,0,0,0,0,0,0
ENSG00000285068,0,0,0,0,0,0
ENSG00000214484,1,0,0,0,0,0
ENSG00000116127,936,861,794,982,921,935
ENSG00000230002,43,33,35,35,60,43
ENSG00000284902,0,0,0,0,0,0
ENSG00000144035,0,0,0,0,1,0
ENSG00000163016,17,1,10,3,6,1
ENSG00000204872,0,0,0,0,0,0
ENSG00000144034,256,387,261,483,223,390
ENSG00000273245,4,0,5,2,3,2
ENSG00000280037,2,2,8,1,7,1
ENSG00000144048,445,414,350,502,381,477
ENSG00000187833,0,0,0,0,0,0
ENSG00000287250,1,2,6,6,4,2
ENSG00000124356,1109,885,1071,919,1153,789
ENSG00000286244,4,5,8,0,7,7
ENSG00000271536,0,0,0,0,0,0
ENSG00000163017,2,2,1,1,2,2
ENSG00000114956,435,610,537,631,566,545
ENSG00000237883,24,21,11,29,14,20
ENSG00000201876,0,0,0,1,2,0
ENSG00000187605,764,1056,697,1024,856,989
ENSG00000235499,0,0,0,0,0,0
ENSG00000279181,2,0,1,1,1,1
ENSG00000257800,60,3,30,15,44,16
ENSG00000217702,12,0,2,4,12,3
ENSG00000163170,158,428,158,430,200,397
ENSG00000225439,156,40,159,45,157,31
ENSG00000114978,3478,3042,3158,3621,3119,3477
ENSG00000065911,2123,2884,2236,3319,2040,3037
ENSG00000279201,0,0,0,1,0,0
ENSG00000279070,0,0,0,4,0,0
ENSG00000264324,21,7,14,10,15,7
ENSG00000188687,47,10,49,14,58,10
ENSG00000229798,2,0,1,3,2,0
ENSG00000252214,0,0,0,0,0,0
ENSG00000234632,1,3,0,3,1,0
ENSG00000225658,2,2,1,0,3,1
ENSG00000204843,3287,4749,3112,4599,3611,4127
ENSG00000237737,9,8,2,9,16,9
ENSG00000159239,1,3,2,0,2,0
ENSG00000234521,0,0,2,0,0,0
ENSG00000284308,71,25,60,21,78,22
ENSG00000286623,5,0,1,0,4,0
ENSG00000233155,16,38,26,27,39,24
ENSG00000005448,1398,1199,1529,1166,1630,1036
ENSG00000114993,388,362,344,289,443,280
ENSG00000115274,47,8,59,7,51,9
ENSG00000274049,0,1,1,1,0,4
ENSG00000239779,382,87,375,79,507,60
ENSG00000115275,1766,1847,2037,1541,2084,1441
ENSG00000286883,0,0,0,0,0,0
ENSG00000204822,0,0,0,0,0,0
ENSG00000135637,362,393,317,342,384,389
ENSG00000115282,691,800,667,767,797,695
ENSG00000179528,123,69,108,72,143,78
ENSG00000272183,15,14,17,3,14,8
ENSG00000257702,167,77,168,84,180,65
ENSG00000115289,328,263,306,262,400,254
ENSG00000115297,6,18,2,6,3,10
ENSG00000144045,11,36,7,29,16,17
ENSG00000115307,2107,3517,1978,3440,2294,3073
ENSG00000115317,486,432,530,379,541,305
ENSG00000115318,102,64,70,61,61,58
ENSG00000115325,375,220,402,200,417,204
ENSG00000159374,3,2,2,3,3,2
ENSG00000233872,0,0,0,0,0,0
ENSG00000108442,0,0,0,0,0,0
ENSG00000135622,1288,918,1229,926,1302,816
ENSG00000287687,0,0,3,1,0,0
ENSG00000224646,0,0,1,0,0,0
ENSG00000286739,2,0,3,0,1,0
ENSG00000272711,61,78,39,57,56,47
ENSG00000159399,1781,1098,2030,1120,1911,1067
ENSG00000204792,0,1,0,1,5,0
ENSG00000236209,0,0,0,0,0,0
ENSG00000230836,0,0,4,1,1,1
ENSG00000115350,153,495,150,460,115,403
ENSG00000115353,1,0,2,1,3,2
ENSG00000263909,0,0,0,0,0,0
ENSG00000270571,2,0,9,3,7,2
ENSG00000236167,0,0,0,0,0,0
ENSG00000115363,317,305,191,349,254,302
ENSG00000237293,0,0,0,1,0,0
ENSG00000238410,2,0,0,0,0,0
ENSG00000231172,2,0,0,2,0,0
ENSG00000230477,0,0,0,0,0,0
ENSG00000221638,0,0,0,0,0,0
ENSG00000115364,1196,1224,1018,1604,1190,1500
ENSG00000226247,5,1,4,3,1,4
ENSG00000005436,564,498,517,588,509,535
ENSG00000270696,0,0,0,0,0,0
ENSG00000271452,16,10,14,11,14,8
ENSG00000270462,7,0,12,0,0,3
ENSG00000286045,7,0,0,0,1,3
ENSG00000270996,0,1,1,0,0,1
ENSG00000287474,0,0,0,0,0,0
ENSG00000233107,0,0,0,0,0,0
ENSG00000287172,0,0,0,0,0,0
ENSG00000287749,0,0,0,0,0,0
ENSG00000228209,0,0,0,0,0,0
ENSG00000271356,0,0,0,0,0,0
ENSG00000200488,0,0,0,0,0,0
ENSG00000251947,0,0,0,0,0,0
ENSG00000287026,0,0,0,0,0,0
ENSG00000287130,0,0,0,0,0,0
ENSG00000286202,0,0,0,0,0,0
ENSG00000176204,5,2,4,2,9,0
ENSG00000200028,0,0,0,0,0,0
ENSG00000287025,0,0,0,0,0,0
ENSG00000234653,0,0,0,0,0,0
ENSG00000286932,0,0,0,0,0,0
ENSG00000227088,0,0,0,0,0,0
ENSG00000230968,0,0,0,0,0,0
ENSG00000237077,7,6,5,6,6,4
ENSG00000233605,0,0,0,0,0,0
ENSG00000229494,0,0,0,0,0,0
ENSG00000214429,0,0,0,0,0,0
ENSG00000270470,0,0,0,0,0,0
ENSG00000234877,0,0,0,0,0,0
ENSG00000286260,0,0,0,0,0,0
ENSG00000202423,0,0,0,0,0,0
ENSG00000200048,0,0,0,0,0,0
ENSG00000143954,0,0,0,0,0,0
ENSG00000172023,0,0,0,0,0,0
ENSG00000115386,1,0,0,0,0,0
ENSG00000204787,0,0,0,0,0,0
ENSG00000172016,0,0,0,0,0,0
ENSG00000224879,0,0,0,0,0,0
ENSG00000066032,1,0,0,0,0,0
ENSG00000286227,0,0,0,0,0,0
ENSG00000229385,0,0,0,0,0,0
ENSG00000277171,0,0,0,0,0,0
ENSG00000230237,0,0,0,0,0,0
ENSG00000252031,0,0,0,0,0,0
ENSG00000266436,0,0,0,0,0,0
ENSG00000276917,0,0,0,0,0,0
ENSG00000224731,0,0,0,0,0,0
ENSG00000223427,22,21,18,13,15,14
ENSG00000162951,22,4,4,1,10,2
ENSG00000237031,0,1,0,0,0,0
ENSG00000230975,0,0,0,0,0,0
ENSG00000234429,0,1,0,0,0,0
ENSG00000231722,0,0,0,0,0,0
ENSG00000235519,0,0,0,0,0,0
ENSG00000200890,0,0,0,0,0,0
ENSG00000233444,0,0,0,0,0,0
ENSG00000242118,0,0,0,0,0,0
ENSG00000231781,0,0,0,0,0,0
ENSG00000229560,0,0,0,0,0,0
ENSG00000252897,0,0,0,0,0,0
ENSG00000201311,0,0,0,0,0,0
ENSG00000237498,0,0,0,0,0,0
ENSG00000226860,0,0,0,1,0,0
ENSG00000226700,0,0,0,0,0,0
ENSG00000225045,0,0,0,0,0,0
ENSG00000224695,0,0,0,0,0,0
ENSG00000227789,0,0,0,0,0,0
ENSG00000286211,0,0,0,0,0,0
ENSG00000168129,0,0,0,0,0,0
ENSG00000223977,0,0,0,0,0,0
ENSG00000232548,0,0,0,0,0,0
ENSG00000224627,0,0,0,0,0,0
ENSG00000199295,0,0,0,0,0,0
ENSG00000228225,0,0,0,0,0,0
ENSG00000228902,0,0,0,0,0,0
